   status                                                           copyright
17                                                                                                                                                   When a loved one in another state is ill, virtually attending appointments is only part of the solution.
18                                                                                                                        Elder care accounts for two-thirds of its spending. Without it, women will end up spending more time and money to care for parents.
19                                                                                                                Here is a concern that baby boomers might not have thought of: Their children could be taking care of them while still in their 20s or 30s.
20                                                                                                                             No such arrangement is without risk. Just make sure that the terms of the employer-employee agreement are clearly spelled out.
21                                                                                                                                                                Sometimes well-meaning check-ins can create an extra burden for both patient and caregiver.
22                                                                                                                                                                     It’s hard enough to have a child with cancer. It shouldn’t crush families financially.
23                                                                                                                             No such arrangement is without risk. Just make sure that the terms of the employer-employee agreement are clearly spelled out.
24                                                                                                                  The burdens of elder care can be particularly difficult when they come years before expected, in what researchers call “off-time events.”
25                                                                                      As more employers offer paid time off after childbirth, a class-action suit has yielded a settlement in which JPMorgan has pledged equal treatment for men and women.
26                                                                                                            The role that daughters play in health care has received little attention. Now experts are sounding the alarm about the toll it takes on women.
27                                                                                                                                 Hang around the ducklings right after they hatch. The birds open their eyes and immediately start looking for a caregiver.
28                                                                                                                                                   This documentary argues that this disease will soon overwhelm both the health and the caregiver systems.
29                                                                                                                                  Otter, a new child care platform, is attracting millions of dollars in venture capital. But can it fix a broken industry?
30                                                                                                         The protection of a patient’s health records does not prohibit health care providers from sharing information with family, friends and caregivers.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              response.docs.lead_paragraph
1                                                                                                                                                                                                                                                                                                                                                                                                    Eleanor Thommes and her sister have reorganized their schedules and finances to take care of their 93-year-old mother, Elising Roxas, who needs round-the-clock care.
2                                                                                                                                                                                                                                                                                                                                                                                                  Caring for someone with a health issue is never easy, but this guide can help you ease the burden by getting organized, marshaling local resources and finding support.
3                                                                                                                                                                                                                                                                                                                                                                                                                                                         Gail Schwartz wants to keep her 85-year-old husband out of a nursing home as long as she can, but it isn’t easy.
4                                                                                                                                                                                                                                                                                                                                                                                                        When you are old and gray and full of sleep and nodding by the fire — whom do you expect to help take care of you? Family? Friends? Paid aides? All of the above?
5                                                                                                                                                                                                                                                                                                                                                                                                                                           Mary Ann Boor could see her husband’s Alzheimer’s disease progressing, and her responsibilities as his caregiver intensifying.
6                                                                                                                                                                                                      AFTER Mark Donham’s wife, Chris, fell under the spell of early-onset Alzheimer’s, he doubled down on his marriage vows. He quit his job as a well-paid sales representative in the printing industry and became his wife’s 24-hour caregiver: dressing her, doing laundry and scheduling social visits with friends. Faith, hope and courage became his new mantra.
7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     I should have put his socks back on.
8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      — Kate Washington, the author of “Already Toast: Caregiving and Burnout in America”
9                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          — Care Economy Business Council
